PROBLEM SIZE: clauses - 326513 literals - 961104
TIME TO SOLVE: 3550.09 sec
HEIGHT: 84 (optimal)
x1 = 11, y1 = 9
x2 = 21, y2 = 49
x3 = 8, y3 = 9
x4 = 14, y4 = 59
x5 = 0, y5 = 22
x6 = 0, y6 = 34
x7 = 0, y7 = 10
x8 = 14, y8 = 25
x9 = 8, y9 = 80
x10 = 0, y10 = 70
x11 = 20, y11 = 49
x12 = 7, y12 = 8
x13 = 9, y13 = 38
x14 = 22, y14 = 38
x15 = 13, y15 = 27
x16 = 17, y16 = 8
x17 = 21, y17 = 31
x18 = 15, y18 = 48
x19 = 10, y19 = 8
x20 = 0, y20 = 47
x21 = 22, y21 = 28
x22 = 0, y22 = 45
x23 = 15, y23 = 40
x24 = 6, y24 = 38
x25 = 16, y25 = 17
x26 = 0, y26 = 8
x27 = 0, y27 = 54
x28 = 20, y28 = 48
x29 = 14, y29 = 28
x30 = 18, y30 = 79
x31 = 8, y31 = 46
x32 = 8, y32 = 19
x33 = 21, y33 = 0
x34 = 20, y34 = 17
x35 = 19, y35 = 79
x36 = 0, y36 = 0
x37 = 7, y37 = 54
x38 = 18, y38 = 38
x39 = 7, y39 = 58
x40 = 15, y40 = 68
x41 = 6, y41 = 28
x42 = 12, y42 = 17
x43 = 13, y43 = 77
x44 = 14, y44 = 31
x45 = 0, y45 = 73
x46 = 8, y46 = 70
x47 = 0, y47 = 66
x48 = 14, y48 = 63
x49 = 15, y49 = 38
x50 = 13, y50 = 22
x51 = 18, y51 = 63
x52 = 21, y52 = 60
x53 = 21, y53 = 40
x54 = 18, y54 = 71
x55 = 8, y55 = 22
x56 = 8, y56 = 0
x57 = 11, y57 = 80
x58 = 13, y58 = 0
x59 = 13, y59 = 70
x60 = 6, y60 = 22
