PROBLEM SIZE: clauses - 736166 literals - 2176186
TIME TO SOLVE: 37.43 sec
HEIGHT: 108
x1 = 5, y1 = 15
x2 = 9, y2 = 39
x3 = 19, y3 = 7
x4 = 5, y4 = 23
x5 = 12, y5 = 14
x6 = 0, y6 = 27
x7 = 6, y7 = 27
x8 = 13, y8 = 11
x9 = 22, y9 = 0
x10 = 7, y10 = 71
x11 = 17, y11 = 73
x12 = 22, y12 = 26
x13 = 13, y13 = 52
x14 = 0, y14 = 5
x15 = 11, y15 = 12
x16 = 3, y16 = 5
x17 = 18, y17 = 73
x18 = 0, y18 = 16
x19 = 4, y19 = 14
x20 = 17, y20 = 82
x21 = 17, y21 = 97
x22 = 9, y22 = 106
x23 = 7, y23 = 74
x24 = 15, y24 = 60
x25 = 6, y25 = 50
x26 = 6, y26 = 58
x27 = 10, y27 = 82
x28 = 8, y28 = 105
x29 = 15, y29 = 67
x30 = 8, y30 = 107
x31 = 10, y31 = 94
x32 = 15, y32 = 70
x33 = 6, y33 = 92
x34 = 14, y34 = 0
x35 = 0, y35 = 0
x36 = 17, y36 = 89
x37 = 0, y37 = 46
x38 = 22, y38 = 16
x39 = 18, y39 = 27
x40 = 22, y40 = 4
x41 = 13, y41 = 42
x42 = 6, y42 = 0
x43 = 23, y43 = 67
x44 = 18, y44 = 60
x45 = 7, y45 = 60
x46 = 20, y46 = 50
x47 = 0, y47 = 67
x48 = 5, y48 = 39
x49 = 6, y49 = 44
x50 = 13, y50 = 39
x51 = 10, y51 = 50
x52 = 2, y52 = 50
x53 = 19, y53 = 52
x54 = 10, y54 = 74
x55 = 0, y55 = 61
x56 = 0, y56 = 38
x57 = 1, y57 = 46
x58 = 0, y58 = 100
x59 = 11, y59 = 5
x60 = 5, y60 = 61
x61 = 4, y61 = 83
x62 = 0, y62 = 93
x63 = 1, y63 = 82
x64 = 8, y64 = 100
x65 = 14, y65 = 28
x66 = 22, y66 = 39
x67 = 13, y67 = 8
x68 = 20, y68 = 41
x69 = 0, y69 = 71
x70 = 18, y70 = 17
x71 = 10, y71 = 0
x72 = 0, y72 = 50
x73 = 19, y73 = 0
x74 = 19, y74 = 70
x75 = 20, y75 = 97
x76 = 16, y76 = 39
x77 = 0, y77 = 83
x78 = 6, y78 = 82
x79 = 17, y79 = 107
x80 = 14, y80 = 26
