PROBLEM SIZE: clauses - 1450947 literals - 4295710
TIME TO SOLVE: 1.36 sec
HEIGHT: 1803 (optimal)
x1 = 170, y1 = 202
x2 = 143, y2 = 1493
x3 = 66, y3 = 619
x4 = 164, y4 = 18
x5 = 8, y5 = 1402
x6 = 152, y6 = 1408
x7 = 12, y7 = 538
x8 = 64, y8 = 420
x9 = 144, y9 = 268
x10 = 4, y10 = 244
x11 = 3, y11 = 133
x12 = 1, y12 = 1333
x13 = 117, y13 = 1657
x14 = 2, y14 = 1221
x15 = 4, y15 = 0
x16 = 121, y16 = 139
x17 = 12, y17 = 978
x18 = 9, y18 = 683
x19 = 114, y19 = 523
x20 = 1, y20 = 1565
x21 = 9, y21 = 894
x22 = 117, y22 = 1214
x23 = 179, y23 = 1337
x24 = 166, y24 = 896
x25 = 164, y25 = 712
x26 = 164, y26 = 805
x27 = 6, y27 = 793
x28 = 177, y28 = 1042
x29 = 1, y29 = 1141
x30 = 18, y30 = 1704
